ticker,yahoo_ticker,total_debt,total_assets,accounts_receivable,non_compliant_investments,cash,total_revenue,interest_income,net_income,market_cap,current_price,shares_outstanding,long_business_summary,fetched_at
786,786.KA,,,,0.0,,,0.0,,78754872.0,4.96,15877998.0,"786.KA,0P0000E6T1,600",2026-06-01T09:01:36.650326+00:00
AABS,AABS.KA,,,,0.0,,,0.0,,9424430080.0,542.81,17362300.0,"AABS.KA,0P0000E6P9,1195",2026-06-01T09:01:36.650326+00:00
AAL,AAL.KA,,,,0.0,,,0.0,,,1.51,,"AAL.KA,0P0000AWUF,0",2026-06-01T09:01:36.650326+00:00
AASM,AASM.KA,,,,0.0,,,0.0,,,3.49,,"AASM.KA,0P0000E6NQ,0",2026-06-01T09:01:36.650326+00:00
AATM,AATM.KA,,,,0.0,,,0.0,,1166200832.0,26.25,44426694.0,"AATM.KA,0P0000AJNT,62815",2026-06-01T09:01:36.650326+00:00
ABL,ABL.KA,68770268000.0,3375614109000.0,,0.0,185063502000.0,133153849000.0,297321532000.0,36329401000.0,133103378432.0,116.24,1145073830.0,Allied Bank Limited,2026-06-01T09:01:36.650326+00:00
ABOT,ABOT.KA,329677000.0,46816196000.0,2978853000.0,0.0,13337551000.0,75397732000.0,546000000.0,7966500000.0,70338428928.0,718.47,97900302.0,Abbott Laboratories (Pakistan) Limited,2026-06-01T09:01:36.650326+00:00
ABSON,ABSON.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ACPL,ACPL.KA,4806612000.0,50421714000.0,812385000.0,0.0,1038192000.0,33309080000.0,85137000.0,1731091000.0,13311175680.0,96.86,137426961.0,Attock Cement Pakistan Limited,2026-06-01T09:01:36.650326+00:00
ADAMS,ADAMS.KA,,,,0.0,,,0.0,,864720960.0,50.01,17290962.0,"ADAMS.KA,0P0000B3RU,14541",2026-06-01T09:01:36.650326+00:00
ADMM,ADMM.KA,,,,0.0,,,0.0,,3429720064.0,40.83,84000000.0,"ADMM.KA,0P0000B5BB,19906",2026-06-01T09:01:36.650326+00:00
ADOS,ADOS.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ADTM,ADTM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
AEL,AEL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
AGHA,AGHA.KA,0.0,59987317000.0,3237512000.0,0.0,239134000.0,13691815000.0,95207000.0,-5088565000.0,5710057984.0,9.44,604879058.0,"AGHA.KA,0P0001L1KG,216688",2026-06-01T09:01:36.650326+00:00
AGIC,AGIC.KA,,,,0.0,,,0.0,,2011239808.0,19.98,100662653.0,"AGIC.KA,0P0000AT2X,17553",2026-06-01T09:01:36.650326+00:00
AGIL,AGIL.KA,329351000.0,9654576000.0,1289047000.0,0.0,29776000.0,11863435000.0,24315000.0,238324000.0,3445920000.0,95.72,36000000.0,Agriauto Industries Limited,2026-06-01T09:01:36.650326+00:00
AGL,AGL.KA,248380340.0,92843646153.0,986881202.0,0.0,132204892.0,35880378746.0,306330489.0,2894835434.0,13542433792.0,22.95,590084224.0,"AGL.KA,0P0000NQR4,4929634",2026-06-01T09:01:36.650326+00:00
AGLNCPS,AGLNCPS.KA,248380340.0,92843646153.0,986881202.0,0.0,132204892.0,35880378746.0,306330489.0,2894835434.0,,19.52,,"AGLNCPS.KA,0P0000VTX4,1",2026-06-01T09:01:36.650326+00:00
AGP,AGP.KA,5405869000.0,32039870000.0,2499101000.0,0.0,1105332000.0,28889765000.0,62527000.0,3735178000.0,26656000000.0,95.2,280000000.0,AGP Limited,2026-06-01T09:01:36.650326+00:00
AGSML,AGSML.KA,,,,0.0,,,0.0,,396308320.0,5.0,79261666.0,"AGSML.KA,0P0000E6SQ,54000",2026-06-01T09:01:36.650326+00:00
AGTL,AGTL.KA,170992000.0,18894282000.0,2756582000.0,0.0,1448824000.0,20371056000.0,34958000.0,1300813000.0,19990693888.0,344.88,57964201.0,Al-Ghazi Tractors Limited,2026-06-01T09:01:36.650326+00:00
AHCL,AHCL.KA,6083035783.0,65042416012.0,5645333519.0,0.0,609944029.0,9958775201.0,32144885.0,7820182695.0,223499272192.0,53.0,4216967470.0,Arif Habib Corporation Limited,2026-06-01T09:01:36.650326+00:00
AHL,AHL.KA,,,,0.0,,,0.0,,3836764928.0,58.72,65340000.0,"AHL.KA,0P0000C0VS,31394",2026-06-01T09:01:36.650326+00:00
AHTM,AHTM.KA,,,,0.0,,,0.0,,465934432.0,55.0,8471535.0,"AHTM.KA,0P0000BL8E,1020",2026-06-01T09:01:36.650326+00:00
AICL,AICL.KA,1011650000.0,264707553000.0,7558502000.0,0.0,12301207000.0,104133755000.0,6314626000.0,5574375000.0,12992000000.0,37.12,350000000.0,Adamjee Insurance Company Limited,2026-06-01T09:01:36.650326+00:00
AIRLINK,AIRLINK.KA,1609175638.0,40518217660.0,3527099204.0,0.0,2288039864.0,129742418267.0,0.0,4625498105.0,43839311872.0,110.91,395269231.0,"AIRLINK.KA,0P0001NDTV,13683532",2026-06-01T09:01:36.650326+00:00
