ticker,company_name,sector_raw
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
AAL,Agro Allianz Limited,TEXTILE SPINNING
AASM,Al-Abid Silk Mills Limited,SYNTHETIC & RAYON
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING
ABL,Allied Bank Limited,COMMERCIAL BANKS
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS
ABSON,Abson Industries Limited,"PAPER, BOARD & PACKAGING"
ACPL,Attock Cement Pakistan Limited,CEMENT
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE
ADOS,Ados Pakistan Limited,ENGINEERING
ADTM,Adil Textile Mills Limited,TEXTILE SPINNING
AEL,AEL Textile Limited,
AGHA,Agha Steel Ind.Ltd,ENGINEERING
AGIC,Askari General Insurance Company Limited,INSURANCE
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES
AGL,Agritech Limited,FERTILIZER
AGLNCPS,Agritech Non-Voting (Pref) Class A,FERTILIZER
AGP,AGP Limited,PHARMACEUTICALS
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER
AHCL,Arif Habib Corporation Limited,FERTILIZER
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.
AHTM,Ahmad Hassan Textile Mills Limited,TEXTILE COMPOSITE
AICL,Adamjee Insurance Company Limited,INSURANCE
AIRLINK,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION
AKBL,Askari Bank Limited,COMMERCIAL BANKS
AKDCL,AKD Capital Limited,
AKDHL,AKD Hospitality Limited,MISCELLANEOUS
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS
AKZO,Akzo Nobel Pakistan Limited,
ALAC,Askari Life Assurance Company Limited,INSURANCE
ALIFE,Adamjee Life Assurance Company Limited,INSURANCE
ALNRS,Al-Noor Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
ALQT,Al-Qadir Textile Mills Limited,TEXTILE SPINNING
ALTN,Altern Energy Limited,POWER GENERATION & DISTRIBUTION
AMBL,Apna Microfinance Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
AMSL,Al-Mal Securities & Services Limited,INV. BANKS / INV. COS. / SECURITIES COS.
AMTEX,Amtex Limited,TEXTILE SPINNING
ANL,Azgard Nine Limited,TEXTILE COMPOSITE
ANNT,Annoor Textile Mills Limited,TEXTILE SPINNING
ANSM,Ansari Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
ANTM,AN Textile Mills Limited,TEXTILE COMPOSITE
APL,Attock Petroleum Limited,OIL & GAS MARKETING COMPANIES
APOT,Apollo Textile Mills Limited,TEXTILE SPINNING
AQTM,Al-Qaim Textile Mills Limited,TEXTILE SPINNING
