ticker,company_name,sector_raw,yahoo_ticker,total_debt,total_assets,accounts_receivable,non_compliant_investments,cash,total_revenue,interest_income,net_income,market_cap,current_price,shares_outstanding,long_business_summary,fetched_at,sector_classified,is_potentially_haram,confidence,method,haram_reason,business_summary,is_haram_business,classification_confidence,sector,business_screen,debt_ratio,debt_screen,interest_ratio,interest_screen,securities_ratio,securities_screen,receivables_ratio,receivables_screen,overall_status,purification_ratio,shariah_score,purification_ratio_percent,screened_at
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,786.KA,,,,0.0,,,0.0,,78754872.0,4.96,15877998.0,"786.KA,0P0000E6T1,600",2026-06-01T09:01:36.650326+00:00,Banking (Conventional),True,high,rule_based,Matched prohibited business keywords for Banking (Conventional).,,True,high,Banking (Conventional),FAIL,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,HARAM,,0,,2026-06-01T09:12:36.353429+00:00
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,AABS.KA,,,,0.0,,,0.0,,9424430080.0,542.81,17362300.0,"AABS.KA,0P0000E6P9,1195",2026-06-01T09:01:36.650326+00:00,Sugar & Allied Industries,False,high,rule_based,,,False,high,Sugar & Allied Industries,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
AAL,Agro Allianz Limited,TEXTILE SPINNING,AAL.KA,,,,0.0,,,0.0,,,1.51,,"AAL.KA,0P0000AWUF,0",2026-06-01T09:01:36.650326+00:00,Textile Spinning,False,high,rule_based,,,False,high,Textile Spinning,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
AASM,Al-Abid Silk Mills Limited,SYNTHETIC & RAYON,AASM.KA,,,,0.0,,,0.0,,,3.49,,"AASM.KA,0P0000E6NQ,0",2026-06-01T09:01:36.650326+00:00,Synthetic & Rayon,False,high,rule_based,,,False,high,Synthetic & Rayon,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING,AATM.KA,,,,0.0,,,0.0,,1166200832.0,26.25,44426694.0,"AATM.KA,0P0000AJNT,62815",2026-06-01T09:01:36.650326+00:00,Textile Spinning,False,high,rule_based,,,False,high,Textile Spinning,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
ABL,Allied Bank Limited,COMMERCIAL BANKS,ABL.KA,68770268000.0,3375614109000.0,,0.0,185063502000.0,133153849000.0,297321532000.0,36329401000.0,133103378432.0,116.24,1145073830.0,Allied Bank Limited,2026-06-01T09:01:36.650326+00:00,Banking (Conventional),True,high,rule_based,Matched prohibited business keywords for Banking (Conventional).,,True,high,Banking (Conventional),FAIL,0.02037266872911983,PASS,2.2329172925372966,FAIL,0.0,PASS,,UNKNOWN,HARAM,,39,,2026-06-01T09:12:36.353429+00:00
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,ABOT.KA,329677000.0,46816196000.0,2978853000.0,0.0,13337551000.0,75397732000.0,546000000.0,7966500000.0,70338428928.0,718.47,97900302.0,Abbott Laboratories (Pakistan) Limited,2026-06-01T09:01:36.650326+00:00,Pharmaceuticals,False,high,rule_based,,,False,high,Pharmaceuticals,PASS,0.0070419433479815404,PASS,0.007241597134513277,PASS,0.0,PASS,0.06362868525242846,PASS,HALAL,0.007241597134513277,94,0.7241597134513277,2026-06-01T09:12:36.353429+00:00
ABSON,Abson Industries Limited,"PAPER, BOARD & PACKAGING",ABSON.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00,"PAPER, Board & Packaging",False,high,rule_based,,,False,high,"PAPER, Board & Packaging",PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
ACPL,Attock Cement Pakistan Limited,CEMENT,ACPL.KA,4806612000.0,50421714000.0,812385000.0,0.0,1038192000.0,33309080000.0,85137000.0,1731091000.0,13311175680.0,96.86,137426961.0,Attock Cement Pakistan Limited,2026-06-01T09:01:36.650326+00:00,Cement,False,high,rule_based,,,False,high,Cement,PASS,0.09532821514159555,PASS,0.0025559697235708703,PASS,0.0,PASS,0.016111808495839708,PASS,HALAL,0.0025559697235708703,93,0.255596972357087,2026-06-01T09:12:36.353429+00:00
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,ADAMS.KA,,,,0.0,,,0.0,,864720960.0,50.01,17290962.0,"ADAMS.KA,0P0000B3RU,14541",2026-06-01T09:01:36.650326+00:00,Sugar & Allied Industries,False,high,rule_based,,,False,high,Sugar & Allied Industries,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE,ADMM.KA,,,,0.0,,,0.0,,3429720064.0,40.83,84000000.0,"ADMM.KA,0P0000B5BB,19906",2026-06-01T09:01:36.650326+00:00,Textile Composite,False,high,rule_based,,,False,high,Textile Composite,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
ADOS,Ados Pakistan Limited,ENGINEERING,ADOS.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00,Engineering,False,high,rule_based,,,False,high,Engineering,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
ADTM,Adil Textile Mills Limited,TEXTILE SPINNING,ADTM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00,Textile Spinning,False,high,rule_based,,,False,high,Textile Spinning,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
AEL,AEL Textile Limited,,AEL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00,Textile,False,high,rule_based,,,False,high,Textile,PASS,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,DOUBTFUL,,20,,2026-06-01T09:12:36.353429+00:00
AGHA,Agha Steel Ind.Ltd,ENGINEERING,AGHA.KA,0.0,59987317000.0,3237512000.0,0.0,239134000.0,13691815000.0,95207000.0,-5088565000.0,5710057984.0,9.44,604879058.0,"AGHA.KA,0P0001L1KG,216688",2026-06-01T09:01:36.650326+00:00,Engineering,False,high,rule_based,,,False,high,Engineering,PASS,0.0,PASS,0.006953570436059792,PASS,0.0,PASS,0.053969941679505355,PASS,HALAL,0.006953570436059792,95,0.6953570436059792,2026-06-01T09:12:36.353429+00:00
AGIC,Askari General Insurance Company Limited,INSURANCE,AGIC.KA,,,,0.0,,,0.0,,2011239808.0,19.98,100662653.0,"AGIC.KA,0P0000AT2X,17553",2026-06-01T09:01:36.650326+00:00,Insurance (Conventional),True,high,rule_based,Matched prohibited business keywords for Insurance (Conventional).,,True,high,Insurance (Conventional),FAIL,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,HARAM,,0,,2026-06-01T09:12:36.353429+00:00
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,AGIL.KA,329351000.0,9654576000.0,1289047000.0,0.0,29776000.0,11863435000.0,24315000.0,238324000.0,3445920000.0,95.72,36000000.0,Agriauto Industries Limited,2026-06-01T09:01:36.650326+00:00,Automobile Parts & Accessories,False,high,rule_based,,,False,high,Automobile Parts & Accessories,PASS,0.03411346080863624,PASS,0.0020495750176909135,PASS,0.0,PASS,0.1335166868021962,PASS,HALAL,0.0020495750176909135,92,0.20495750176909136,2026-06-01T09:12:36.353429+00:00
AGL,Agritech Limited,FERTILIZER,AGL.KA,248380340.0,92843646153.0,986881202.0,0.0,132204892.0,35880378746.0,306330489.0,2894835434.0,13542433792.0,22.95,590084224.0,"AGL.KA,0P0000NQR4,4929634",2026-06-01T09:01:36.650326+00:00,Fertilizer,False,high,rule_based,,,False,high,Fertilizer,PASS,0.002675254045825453,PASS,0.008537548925236754,PASS,0.0,PASS,0.010629496394117127,PASS,HALAL,0.008537548925236754,96,0.8537548925236754,2026-06-01T09:12:36.353429+00:00
AGLNCPS,Agritech Non-Voting (Pref) Class A,FERTILIZER,AGLNCPS.KA,248380340.0,92843646153.0,986881202.0,0.0,132204892.0,35880378746.0,306330489.0,2894835434.0,,19.52,,"AGLNCPS.KA,0P0000VTX4,1",2026-06-01T09:01:36.650326+00:00,Fertilizer,False,high,rule_based,,,False,high,Fertilizer,PASS,0.002675254045825453,PASS,0.008537548925236754,PASS,0.0,PASS,0.010629496394117127,PASS,HALAL,0.008537548925236754,96,0.8537548925236754,2026-06-01T09:12:36.353429+00:00
AGP,AGP Limited,PHARMACEUTICALS,AGP.KA,5405869000.0,32039870000.0,2499101000.0,0.0,1105332000.0,28889765000.0,62527000.0,3735178000.0,26656000000.0,95.2,280000000.0,AGP Limited,2026-06-01T09:01:36.650326+00:00,Pharmaceuticals,False,high,rule_based,,,False,high,Pharmaceuticals,PASS,0.1687231877033209,PASS,0.002164330516361071,PASS,0.0,PASS,0.07799972346953966,PASS,HALAL,0.002164330516361071,86,0.2164330516361071,2026-06-01T09:12:36.353429+00:00
